Control,ash-2,prx-5,fat-2,fat-7,plin-1,hosl-1,atgl-1,spas-1,pmp-4,lpin-1,seip-1,acs-4,acs-22,fitm-2,dgat-2,acs-5,acs-13,acs-17,prx-19,Y7A5A.1,syx-5,alh-4,rab-7,prx-11,spg-20,ads-1,ctl-3,tomm-22,sod-1,fard-1,snx-13,mctp-1,faah-4,acdh-1,ech- 1,F46H5.3,dhs-9,dhs-4,dhs-19,tkt1,cgi-58,acdh-12,F13D12.9,dhs-28,spl-1,gpx-1,ftn-1 ,maoc-1,lpd-5,daf-22,T25G3.4,gpx-1(tm2100) mutant,hlh-2 RNAi,hlh-3 RNAi,nhr-64 RNAi,Y44A6D.3 RNAi,hlh-11 RNAi,nhr-49 RNAi,nhr-62 RNAi,nhr-79 RNAi,sbp-1 RNAi,C25H3.11-vps13d RNAi
0.76975945,1.198675,1.30872484,2.81786942,,,1.3481041,1.84659112,1.15687679,1.79011461,0.84893147,0.74324734,1.523179,0.966887,1.18543,0.596026,0.701987,1.05298,1.112583,1.49964463,1.42857143,0.31982942,0.81023454,0.41222459,0.29140014,1.15849325,0.29539531,1.23370982,1.03388358,0.46915725,0.3301477,1.53779322,0.9556907,0.3127715,0.56102362,1.07283465,1.68307087,0.5019685,,,0.18700787,,,1.09139014,0.16536214,,0.39686914,0.65042443,1.58747657,0.34174843,0.56223129,0.231507,1.815011372,,1.440485216,,0.518574678,0.432145565,0.308571429,0.811428571,1.085714286,0.391162791,1.684859
0.81099656,1.264901,1.827815,1.29209622,,,3.20920357,2.3488639,1.33954155,1.74140401,0.20044215,0.36691957,1.370861,1.516556,0.622517,1.019868,0.218543,0.470199,0.735099,0.84577114,1.14427861,0.44065387,1.00923952,0.54015636,0.32693674,1.24378109,0.68635969,1.44222415,0.99913119,1.00781929,1.32927889,1.37271937,1.09470026,1.71155517,0.51181102,1.01377953,,1.21062992,,,,,,0.78271414,1.05831772,,0.73861757,1.86308015,1.27880057,0.83783486,,0.540183,,,,,1.728582259,,0.171428571,1.188571429,1.977142857,0.094418605,1.336268
0.9209622,1.291391,1.562914,2.17182131,,,1.38389447,1.34431833,,1.41260745,0.60132646,0.27283763,0.907285,1.596026,0.986755,0.278146,0.490066,1.476821,0.311258,0.8315565,0.83866382,0.2416489,0.7960199,0.38379531,0.7604833,0.76759062,0.13032146,1.03388358,0.86012163,0.3214596,1.72024327,0.39965248,0.38227628,0.18245004,2.37204724,1.28937008,,1.26968504,,,,,,0.463014,,,0.231507,0.47403814,1.11343843,1.56542829,,1.90717672,,,,,,,0.16,0.102857143,1.2,0.229302326,1.026408
1.38831615,1.609272,1.13245,,,,2.35023458,1.53636381,,,0.62490789,0.06585736,1.94702,1.516556,0.827815,1.119205,0.516556,1.430464,0.549669,1.45700071,0.36247335,0.24875622,,0.19900498,0.37668799,0.87420043,0.19113814,0.07819288,0.50390964,1.15551694,0.93831451,1.38140747,0.70373588,1.05994787,0.62992126,1.06299213,,0.48228346,,,,,,0.18741043,,,0.50711057,0.18741043,1.22367986,0.926028,,0.71656929,,,,,,,0.342857143,1.234285714,,0.148372093,1.588028
0.38487973,1.662252,1.291391,,,,1.65828734,1.65454564,,,0.50700074,1.20424886,1.152318,1.07947,0.311258,0.774834,0.145695,1.278146,0.854305,1.93319119,0.96659559,0.11371713,,0.50461976,0.61122957,1.60625444,0.20851434,1.40747176,0.67767159,1.55516942,0.22589053,1.22502172,0.66898349,0.74717637,0.33464567,1.65354331,,1.02362205,,,,,,0.58427957,,,1.45518686,0.37482086,0.78271414,0.89295557,,0.52915886,,,,,,,0.205714286,,,0.364186047,2.120599
0.97651007,1.05298,1.112583,,,,,2.54090938,,,0.76639646,0.12230652,1.05298,1,1.172185,0.549669,0.609272,1.05298,1.238411,1.54939588,1.33617626,0.51172708,,0.41222459,0.22032694,,0.40834057,0.16507385,1.24239791,0.6602954,0.42571677,0.67767159,,,0.31496063,1.26968504,,1.13188976,,,,,,0.58427957,,,1.71976629,1.24572814,1.66464557,0.40789329,,1.27880057,,,,,,,0.354285714,0.434285714,,0.782325581,2.556338
0.86577181,0.900662,1.887417,,,,,1.81704566,,,0.6366986,0.39514416,,1.033113,1.423841,1.218543,0.602649,1.152318,0.317881,1.74129353,0.88841507,0.36247335,,0.36247335,0.14925373,,0.41702867,0.57341442,1.06863597,0.67767159,1.2858384,1.98088619,,,0.54133858,1.48622047,,0.77755906,,,,,,0.73861757,,,0.694521,,0.47403814,0.79373829,,0.31970014,,,,,,,0.217142857,,,0.337209302,1.433099
0.96644296,1.172185,1.701987,,,,,,,,0.8725129,0.35751138,,1.152318,0.099338,1.211921,0.357616,0.940397,0.225166,1.01634684,0.34825871,0.12793177,,0.25586354,0.62544421,,0.35621199,0.92962641,,0.15638575,1.13814075,1.2945265,,,2.28346457,0.91535433,,1.25,,,,,,0.27560357,,,0.926028,,1.59850072,0.51813472,,0.42994157,,,,,,,0.365714286,,,,1.965669
1.77181209,1.099338,2.05298,,,,,,,,0.30655859,0.57389985,,0.192053,1.251656,1.490066,1.178808,1.264901,0.84106,1.05188344,1.21535181,0.60412225,,0.21321962,0.71783937,,0.22589053,0.03475239,,1.06863597,0.39096438,1.19026933,,,1.70275591,1.25984252,,0.45275591,,,,,,0.154338,,,0.617352,,0.98114872,1.16855914,,0.47403814,,,,,,,,,,,1.24912
1.01677853,1.370861,1.509934,,,,,,,,0.77818718,0.63034901,,1.509934,,,0.476821,1.562914,0.523179,0.80312722,1.99715707,0.18479033,,0.2061123,0.7604833,,0.06950478,0.58210252,,,0.67767159,1.97219809,,,1.00393701,,,,,,,,,,,,1.02524529,,1.20163157,0.57325543,,1.27880057,,,,,,,,,,,2.0625
