Control,ash-2,prx-5,fat-7,plin-1,hosl-1,fat-2,spas-1,atgl-1,pmp-4,lpin-1,seip-1,dhs-3,acs-4,acs-22,fitm-2,dgat-2,acs-5,acs-13,acs-17,prx-19,Y7A5A.1,syx-5,alh-4,rab-7,prx-11,spg-20,ads-1,ctl-3,tomm-22,sod-1,fard-1,snx-13,mctp-1,faah-4,acdh-1,ech- 1,F46H5.3,dhs-9,dhs-4,dhs-19,tkt1,cgi-58,acdh-12,F13D12.9,dhs-28,spl-1,gpx-1,ftn-1,maoc-1,lpd-5,daf-22,T25G3.4,gpx-1(tm2100) mutant,hlh-2 RNAi,hlh-3 RNAi,nhr-64 RNAi,Y44A6D.3 RNAi,hlh-11 RNAi,nhr-49 RNAi,nhr-62 RNAi,nhr-79 RNAi,sbp-1 RNAi,C25H3.11-vps13d RNAi
1.027714,2.038106,0.317552,0.259815,1.47806,1.54157,1.553118,0.62933,0.450346,1.287529,0.17321,1.460739,0.713219,1.235997,0.601195,0.836445,0.862584,0.51531,0.743092,0.552651,0.85840059,0.46955246,0.513573,1.06016141,1.47835657,0.63829787,1.0785033,0.9748038,0.86741016,0.64023131,0.99958695,0.66501446,1.05328377,1.52003304,0.43370508,1.27921802,1.2919677,0.73098173,1.02847429,,,1.41521462,,,1.77304965,0.6855792,,0.50591017,1.15839243,1.26241135,0.59101655,0.98345154,0.8179669,1.427444254,,2.181961402,,0.512012603,0.212682158,0.492512783,0.852629657,1.032688093,0.574408901,0.598445596
0.831409,1.680139,0.300231,1.154734,1.709007,1.830254,1.068129,0.923788,0.669746,1.709007,1.039261,0.525404,1.161314,0.713219,0.892457,1.071695,0.884989,0.843913,1.064227,0.911128,0.35583272,1.55172414,0.21643434,0.68231842,1.47468819,0.53925165,0.9757887,0.87980173,0.87154069,0.95415118,0.69805865,0.75175547,1.44981413,0.66501446,0.83436596,0.92647684,1.16872078,,1.30471738,,,,,,0.53427896,0.60047281,,1.11583924,0.90307329,0.86524823,0.69030733,,0.6855792,,,,,0.441118551,,0.460737765,0.842037984,0.582542001,0.464070468,0.833549223
1.420323,1.593533,0.017321,1.19515,1.963048,1.125866,1.143187,1.125866,1.720554,2.297921,1.143187,0.860277,1.064227,1.400299,0.463032,1.071695,0.68708,1.000747,1.460045,0.944735,1.3352898,0.50623624,0.4108584,1.00513573,1.30961115,0.49156273,1.07116654,0.67327551,1.2102437,0.95002065,0.73110285,0.39653036,0.74762495,1.10285006,0.92523751,1.31321717,1.12197195,,1.03272418,,,,,,1.39952719,,,1.17257683,1.58392435,0.6572104,0.8463357,,0.73758865,,,,,,,0.593133674,1.504017531,1.027392257,0.47705146,0.710654145
1.472286,2.032333,0.479215,0.421478,1.206697,1.830254,1.420323,1.30485,1.08545,0.84873,0.352194,2.142032,1.153846,1.067961,1.105302,0.862584,1.333084,0.548917,1.0941,1.243465,0.95011005,0.92076302,0.24578136,,1.33895818,0.63096112,1.40865737,0.65675341,0.37587774,1.10698059,1.02850062,0.55762082,1.4952499,1.18546055,0.4543577,1.39396515,1.83170421,,1.33871653,,,,,,1.04964539,,,0.44444444,0.79432624,0.63356974,1.46572104,,1.11111111,,,,,,,0.354821037,1.466946676,,0.454334724,0.667908031
2.251732,2.228637,0.150115,0.710162,1.079677,1.431871,1.859122,2.130485,0.715935,0.993072,0.277136,1.102771,1.213592,1.067961,1.000747,1.0941,0.675878,0.567588,1.161314,0.765497,0.95744681,1.11518709,0.23477623,,1.43066764,0.84739545,0.68598679,0.87567121,1.2432879,0.96654275,0.63197026,1.20611318,1.02850062,1.37546468,0.44609665,1.37696558,0.79473013,,0.90097748,,,,,,0.92671395,,,0.58156028,0.87470449,0.66666667,0.92671395,,1.67375887,,,,,,,0.444850256,1.556975895,,0.308298563,0.561042746
0.941109,1.784065,0.011547,1.345266,1.703233,2.165127,1.252887,0.415704,0.386836,1.293303,0.889145,0.167436,0.392084,0.702016,0.866318,0.937267,0.731889,0.51531,0.836445,0.604929,0.70066031,1.30961115,0.4622157,,1.44534116,0.50256787,,0.76414705,0.9748038,0.62783974,0.52870715,0.7228418,0.57414292,,,0.85422864,1.37271568,,0.55673608,,,,,,0.70921986,,,0.73286052,0.91725768,0.47754137,1.01654846,,0.93617021,,,,,,,0.471329438,1.604638422,,0.266110338,0.545012953
0.837182,1.501155,0.525404,0.750577,2.136259,1.385681,1.87067,1.166282,1.275982,1.351039,0.877598,0.981524,0.68708,,1.060493,1.239731,0.612397,1.217326,0.560119,0.85885,1.00146735,0.73367572,0.60528247,,1.34262656,0.61261922,,0.61131764,0.55762082,0.97067328,0.7393639,0.95002065,0.94589013,,,1.33871653,1.50871228,,1.52996175,,,,,,0.43026005,,,1.3427896,,0.83687943,0.79905437,,0.92671395,,,,,,,0.714937911,0.741417093,,0.408901252,0.614475389
1.65127,1.789838,0.098152,0.271363,0.525404,2.257506,0.929561,1.275982,1.073903,1.662818,0.727483,0.577367,1.20239,,1.20239,1.086632,1.213592,0.395818,0.821509,0.806572,1.08584006,0.67865004,0.47688921,,1.5077036,0.38151137,,1.11937216,0.57827344,,0.59479554,0.76827757,1.02850062,,,0.82447939,1.8359541,,1.33871653,,,,,,0.55791962,,,0.84160757,,0.27423168,0.71394799,,0.89834515,,,,,,,,,,,0.753400259
1.356813,1.622402,0.138568,0.375289,0.975751,1.420323,1.709007,1.033487,1.928406,2.199769,1.778291,1.143187,0.772965,,1.508588,1.247199,0.993279,0.253921,0.933532,0.791636,0.56126192,0.75935437,0.31548056,,1.21790169,0.59427733,,0.84675754,0.67740603,,0.92523751,0.7228418,0.96654275,,,0.70973226,1.07522312,,0.80322992,,,,,,0.86997636,,,0.39716312,,0.85106383,1.10165485,,0.40661939,,,,,,,,,,,0.395401554
1.108545,1.737875,0.196305,0.421478,0.842956,1.645497,2.32679,1.19515,0.548499,1.82448,0.190531,0.658199,0.444361,,1.000747,,0.530246,0.716953,0.873786,0.716953,0.92809978,1.07483492,0.48055759,,1.15920763,0.76302274,,0.59892606,0.85914911,,,0.84262701,1.06980587,,,1.52146196,,,0.84147896,,,,,,,,,0.95035461,,0.32624113,0.66666667,,0.9787234,,,,,,,,,,,0.480893782
