LipidIon,Class,FattyAcid,FA1,FA2,FA3,FA4,CalcMz,IonFormula,GroupArea[c],GroupHeight[c],GroupTopPos[c],ASH10,ASH14,ASH18,ASH2,ASH22,ASH6,EV1,EV13,EV17,EV21,EV5,EV9,P-A11,P-A15,P-A19,P-A23,P-A3,P-A7,PRX12,PRX16,PRX20,PRX24,PRX4,PRX8,QC_MSMS,blank,,Filename,dLPC-,dLPE-,dPI-,dPS-,dPG-,dCer-,dPC-,dPE-
CL(18:2/20:3/18:2/20:3)-H,CL,(18:2/20:3/18:2/20:3),(18:2),(20:3),(18:2),(20:3),1499.996255,C85 H145 O17 P2,3228375.557,331506.619,21.307,6288233.915,4812252.558,4667236.591,7707385.955,4373310.37,8592170.347,3707102.88,5649416.663,3189238.226,3358062.965,3963396.418,5081988.484,664819.404,1000570.797,759815.19,704653.319,901359.479,1071847.39,1188606.532,852535.02,1509438.235,934763.086,3415609.163,1173680.046,4060703.521,0,,P-A7,1.70E+08,2.07E+08,1.71E+08,3.54E+08,4.24E+08,5.21E+08,2.60E+08,3.36E+08
CL(18:2/20:3/20:4/18:2)-H,CL,(18:2/20:3/20:4/18:2),(18:2),(20:3),(20:4),(18:2),1497.980605,C85 H143 O17 P2,2189557.632,304027.4533,21.007,1382077.87,3064591.577,4962.1893,32218.461,25380.3399,9709319.855,3672188.125,7640429.66,119757.804,35520.8532,5552518.882,6312871.332,12860.7939,1498692.538,3507.5136,21360.2016,1175121.756,1366810.322,8028.458,19540.4247,109927.1178,1635814.986,96704.4336,1136688.809,6170202.474,0,,PRX8,1.62E+08,1.95E+08,1.51E+08,3.07E+08,3.96E+08,4.63E+08,2.41E+08,2.97E+08
CL(18:3/20:4/20:3/18:2)-H,CL,(18:3/20:4/20:3/18:2),(18:3),(20:4),(20:3),(18:2),1495.964955,C85 H141 O17 P2,5095919.541,504181.8208,20.727,8024766.587,6402372.135,6185751.702,1.04E+07,5578563.848,1.14E+07,5762049.49,9920428.322,6919776.13,6202099.054,7433022.83,8709160.914,1242181.379,2553589.972,1907788.124,1768955.567,1868968.056,2100552.477,2357555.621,1393407.933,3099747.106,2074120.629,6160426.249,2064750.722,5615659.759,0,,EV9,1.80E+08,2.20E+08,1.72E+08,3.31E+08,4.15E+08,4.71E+08,2.45E+08,3.17E+08
CL(18:3/20:4/20:4/18:2)-H,CL,(18:3/20:4/20:4/18:2),(18:3),(20:4),(20:4),(18:2),1493.949305,C85 H139 O17 P2,3107345.161,291425.1325,20.455,4625608.859,3980230.834,3807839.045,6409953.276,3220768.287,6703052.234,3516490.153,6144467.758,4406041.181,3890360.032,4397886.65,4925436.029,895028.422,1704062.574,1314312.232,1033254.82,1612594.9,1634505.2,1689237.478,923789.54,1678161.822,1272412.883,3382595.977,1262737.754,3360714.942,0,,ASH10,1.70E+08,1.93E+08,1.58E+08,3.40E+08,7.15E+08,4.40E+08,2.25E+08,2.93E+08
CL(18:4/20:4/18:2/20:4)-H,CL,(18:4/20:4/18:2/20:4),(18:4),(20:4),(18:2),(20:4),1491.933655,C85 H137 O17 P2,223077.1206,37001.04519,20.205,22641.8988,8859.951,46616.1264,33575.5398,3519.54,15792.0786,20750.5983,9826.2003,46346.0343,16197.5016,39564.4575,10610.6757,2764.2312,4529.3904,496176.367,445824.866,10881.975,568280.393,5116.7184,383418.926,12796.3914,470087.921,627.799,454540.883,532712.1888,0,,P-A11,1.71E+08,2.08E+08,1.66E+08,3.30E+08,4.13E+08,5.11E+08,2.54E+08,3.32E+08
CL(18:2/18:0/18:0/22:0)-H,CL,(18:2/18:0/18:0/22:0),(18:2),(18:0),(18:0),(22:0),1516.121455,C85 H161 O17 P2,2206935.521,330795.0046,18.33,2862894.569,1963734.792,1915950.745,3290416.999,2316463.576,3543404.908,1861711.975,3412616.937,2693215.638,2524716.606,1889609.865,2806728.874,1306293.283,1910761.7,1264653.613,1319222.317,1700431.027,1602398.616,1926660.976,1222747.79,1947575.849,1462294.336,3757677.624,1621214.951,2934022.985,0,,PRX12,1.62E+08,1.89E+08,1.56E+08,3.21E+08,3.99E+08,4.70E+08,2.36E+08,3.04E+08
CL(24:0/16:0/18:1/18:2)-H,CL,(24:0/16:0/18:1/18:2),(24:0),(16:0),(18:1),(18:2),1514.105805,C85 H159 O17 P2,1043059.584,151494.4884,18.007,134872.8609,945874.544,1189728.99,47287.5264,1253142.166,2177102.817,1104120.236,1642173.504,1121616.955,1354392.771,822666.678,1519904.536,703181.655,958160.857,45191.4126,244823.744,651137.793,798764.678,1318605.539,715317.939,1150950.148,1274875.705,2555182.056,638160.779,1418788.261,0,,EV13,1.45E+08,1.65E+08,1.33E+08,2.88E+08,3.27E+08,3.62E+08,1.89E+08,2.44E+08
CL(22:6/15:0/15:0/24:1)-H,CL,(22:6/15:0/15:0/24:1),(22:6),(15:0),(15:0),(24:1),1506.043205,C85 H151 O17 P2,42060.80036,49691.35861,16.982,34246.8861,17233.485,8418.552,51022.4166,14436.222,38915.748,19110.984,39511.323,18352.2435,19492.0545,16862.1726,39996.9858,75021.4848,24891.5133,19733.2185,50308.2945,68356.1892,21298.0785,20875.7055,9556.3449,14179.137,91731.5865,26964.1665,24404.0241,337253.335,7095.891,,ASH14,1.42E+08,1.73E+08,1.37E+08,2.84E+08,5.99E+08,3.69E+08,1.97E+08,2.60E+08
CL(18:2/20:3/20:3/18:1)-H,CL,(18:2/20:3/20:3/18:1),(18:2),(20:3),(20:3),(18:1),1502.011905,C85 H147 O17 P2,306488.0089,46551.99815,21.663,27245.6505,21631.062,10377.4038,2499392.453,26269.9995,27529.8942,7211.7216,76328.1648,14097.2892,248414.484,861679.888,1777121.612,1655.6832,9656.7261,156418.618,5774.3682,228396.128,25873.782,10763.1753,118028.392,3003.882,7363.1193,7083.0792,4479.6528,1309533.12,0,,P-A15,1.32E+08,1.52E+08,1.32E+08,2.93E+08,3.33E+08,3.89E+08,1.98E+08,2.57E+08
CL(20:4/18:1/18:1/20:3)-H,CL,(20:4/18:1/18:1/20:3),(20:4),(18:1),(18:1),(20:3),1502.011905,C85 H147 O17 P2,84578.49816,22386.43819,21.807,11493.4611,224100.972,7180.1601,19361.208,84318.77,17467.6362,8163.6678,2447.9622,3159.597,64211.981,191887.74,426120.189,37700.029,192150.879,2894.1624,118769.359,877.3182,8035.8282,207808.102,16589.868,41314.909,5129.4102,178974.213,9297.783,289068.5493,0,,PRX16,1.29E+08,1.62E+08,1.30E+08,2.58E+08,3.24E+08,4.01E+08,2.05E+08,2.70E+08
